music_names,music_artist,music_path,music_cover_music_genre
Sesaat Kau Hadir - Gery Gany,Gery Gany - Sesaat Kau Hadir,C:\Project UAS TERBARU\Lagu\Gery Gany - Sesaat Kau Hadir.mp3,C:\Project UAS TERBARU\Gambar Lagu\Gery Gany - Sesaat Kau Hadir.png,R&B
Treat You Better - Shawn Mendes,Shawn Mendes - Treat You Better,C:\Project UAS TERBARU\Lagu\Shawn Mendes - Treat You Better.mp3,C:\Project UAS TERBARU\Gambar Lagu\Shawn Mendes - Treat You Better.png,Pop
Pupus - Dewa 19,Dewa 19 - Pupus,C:\Project UAS TERBARU\Lagu\Dewa 19 - Pupus.mp3,C:\Project UAS TERBARU\Gambar Lagu\Dewa 19 - Pupus.png,Pop
Kamu - Coboy Junior,Coboy Junior - Kamu,C:\Project UAS TERBARU\Lagu\Coboy Junior - Kamu.mp3,C:\Project UAS TERBARU\Gambar Lagu\Coboy Junior - Kamu.png,Pop
Kisinan 2 - Masdddho,Masdddho - Kisinan 2,C:\Project UAS TERBARU\Lagu\Masdddho - Kisinan 2.mp3,C:\Project UAS TERBARU\Gambar Lagu\Masdddho - Kisinan 2.png,Dangdut
Fireflies - OwlCity,OwlCity - Fireflies,C:\Project UAS TERBARU\Lagu\Owl City - Fireflies.mp3,C:\Project UAS TERBARU\Gambar Lagu\OwlCity - Fireflies.png,Pop
Hujan - Utopia,Utopia - Hujan,C:\Project UAS TERBARU\Lagu\Utopia - Hujan.mp3,C:\Project UAS TERBARU\Gambar Lagu\Utopia - Hujan.png,Pop
Wirang - Denny Caknan,Denny Caknan - Wirang,C:\Project UAS TERBARU\Lagu\Denny Caknan - Wirang.mp3,C:\Project UAS TERBARU\Gambar Lagu\Denny Caknan - Wirang.png,Dangdut
if u could see me cryin in my room - Arash Buana ft Raissa Anggiani,Arash Buana ft Raissa Anggiani - if u could see me cryin in my room,C:\Project UAS TERBARU\Lagu\Arash Buana ft Raissa Anggiani - if u could see me cryin in my room.mp3,C:\Project UAS TERBARU\Gambar Lagu\Arash Buana ft Raissa Anggiani - if u could see me cryin in my room.png,Pop
Kangen - Dewa 19,Dewa 19 - Kangen,C:\Project UAS TERBARU\Lagu\Dewa 19 - Kangen.mp3,C:\Project UAS TERBARU\Gambar Lagu\Dewa 19 - Kangen.png,Pop
Location Unknown - HONNE ft BEKA,HONNE ft BEKA - Location Unknown,C:\Project UAS TERBARU\Lagu\HONNE ft BEKA - Location Unknown.mp3,C:\Project UAS TERBARU\Gambar Lagu\HONNE ft BEKA - Location Unknown.png,Indie
Serana - For Revenge,For Revenge - Serana,C:\Project UAS TERBARU\Lagu\For Revenge - Serana.mp3,C:\Project UAS TERBARU\Gambar Lagu\For Revenge - Serana.png,Indie
Take Me Home - Cash Cash feat. Bebe Rexha,Cash Cash feat. Bebe Rexha  - Take Me Home,C:\Project UAS TERBARU\Lagu\Cash Cash ft Bebe Rexha - Take Me Home.mp3,C:\Project UAS TERBARU\Gambar Lagu\Cash Cash ft Bebe Rexha - Take Me Home.png,Country
Klebus - GuyonWaton,GuyonWaton - Klebus,C:\Project UAS TERBARU\Lagu\GuyonWaton - Klebus.mp3,C:\Project UAS TERBARU\Gambar Lagu\GuyonWaton - Klebus.png,Dangdut
Sepenuh Hati - Rony Parulian ft Andi Rianto,Rony Parulian ft Andi Rianto - Sepenuh Hati,C:\Project UAS TERBARU\Lagu\Rony Parulian ft Andi Rianto - Sepenuh Hati.mp3,C:\Project UAS TERBARU\Gambar Lagu\Rony Parulian ft Andi Rianto - Sepenuh Hati.png,Pop
Mengenangmu - Kerispatih,Kerispatih - Mengenangmu,C:\Project UAS TERBARU\Lagu\Kerispatih - Mengenangmu.mp3,C:\Project UAS TERBARU\Gambar Lagu\Kerispatih - Mengenangmu.png,Pop
Abadi - Dendi Nata ft Hendra Kumbara,Dendi Nata ft Hendra Kumbara - Abadi,C:\Project UAS TERBARU\Lagu\Dendi Nata ft Hendra Kumbara - Abadi.mp3,C:\Project UAS TERBARU\Gambar Lagu\Dendi Nata ft Hendra Kumbara - Abadi.png,Indie
Surat Hati - Devano,Devano - Surat Hati,C:\Project UAS TERBARU\Lagu\Devano - Surat Hati.mp3,C:\Project UAS TERBARU\Gambar Lagu\Devano - Surat Hati.png,Pop
Remaja - HIVI!,HIVI! - Remaja,C:\Project UAS TERBARU\Lagu\HIVI! - Remaja.mp3,C:\Project UAS TERBARU\Gambar Lagu\HIVI! - Remaja.png,Pop
2002 - Anne Marie,Anne Marie - 2002,C:\Project UAS TERBARU\Lagu\Anne Marie - 2002.mp3,C:\Project UAS TERBARU\Gambar Lagu\Anne Marie - 2002.png,Pop
Rahasia Hati - Nidji,Nidji - Rahasia Hati,C:\Project UAS TERBARU\Lagu\Nidji - Rahasia Hati.mp3,C:\Project UAS TERBARU\Gambar Lagu\Nidji - Rahasia Hati.png,Pop
Photograph - Ed Sheeran,Ed Sheeran - Photograph,C:\Project UAS TERBARU\Lagu\Ed Sheeran - Photograph.mp3,C:\Project UAS TERBARU\Gambar Lagu\Ed Sheeran - Photograph.png,Pop
Kembali Pulang - Suara Kayu Feat. Feby Putri,Suara Kayu Feat. Feby Putri  - Kembali Pulang,C:\Project UAS TERBARU\Lagu\Suara Kayu ft Feby Putri - Kembali Pulang.mp3,C:\Project UAS TERBARU\Gambar Lagu\Suara Kayu ft Feby Putri - Kembali Pulang.png,Pop
Closer - The Chainsmokers ft Halsey,The Chainsmokers ft Halsey - Closer,C:\Project UAS TERBARU\Lagu\The Chainsmokers ft Halsey - Closer.mp3,C:\Project UAS TERBARU\Gambar Lagu\The Chainsmokers ft Halsey - Closer.png,Pop
One of The Girls - The Weeknd ft Jennie & Lliy Rose Depp,The Weeknd ft Jennie & Lliy Rose Depp - One of The Girls,C:\Project UAS TERBARU\Lagu\The Weeknd ft Jennie & Lily Rose Depp - One Of The Girls.mp3,C:\Project UAS TERBARU\Gambar Lagu\The Weeknd ft Jennie & Lily Rose Depp - One of The Girls.png,Pop
End Of Beginning - Djo,Djo - End Of Beginning,C:\Project UAS TERBARU\Lagu\Djo - End Of Beginning.mp3,C:\Project UAS TERBARU\Gambar Lagu\Djo - End Of Beginning.png,Rock
Tertawan Hati - AWDELLA,AWDELLA - Tertawan Hati,C:\Project UAS TERBARU\Lagu\AWDELLA - Tertawan Hati.mp3,C:\Project UAS TERBARU\Gambar Lagu\AWDELLA - Tertawan Hati.png,Pop
Love In The Dark - Adele,Adele - Love In The Dark,C:\Project UAS TERBARU\Lagu\Adele - Love In The Dark.mp3,C:\Project UAS TERBARU\Gambar Lagu\Adele - Love In The Dark.png,Pop
Roman Picisan - Hanin Dhiya ft Ahmad Dhani,Hanin Dhiya ft Ahmad Dhani - Roman Picisan,C:\Project UAS TERBARU\Lagu\Hanin Dhiya ft Ahmad Dhani - Roman Picisan.mp3,C:\Project UAS TERBARU\Gambar Lagu\Hanin Dhiya ft Ahmad Dhani - Roman Picisan.png,Pop Rock
Money - Lisa,Lisa - Money,C:\Project UAS TERBARU\Lagu\Lisa - Money.mp3,C:\Project UAS TERBARU\Gambar Lagu\Lisa - Money.png,K-POP
Kekal - Nadin Amizah,Nadin Amizah - Kekal,C:\Project UAS TERBARU\Lagu\Nadin Amizah - Kekal.mp3,C:\Project UAS TERBARU\Gambar Lagu\Nadin Amizah - Kekal.png,
Perfect - One Direction,One Direction - Perfect,C:\Project UAS TERBARU\Lagu\One Direction - Perfect.mp3,C:\Project UAS TERBARU\Gambar Lagu\One Direction - Perfect.png,Pop
We Don't Talk Anymore - Charlie Puth ft Selena Gomez,Charlie Puth ft Selena Gomez - We Don't Talk Anymore,C:\Project UAS TERBARU\Lagu\Charlie Puth ft Selena Gomez - We Dont Talk Anymore.mp3,C:\Project UAS TERBARU\Gambar Lagu\Charlie Puth ft Selena Gomez - We Dont Talk Anymore.png,Pop
To The Bone - Pamungkas,Pamungkas - To The Bone,C:\Project UAS TERBARU\Lagu\Pamungkas - To The Bone.mp3,C:\Project UAS TERBARU\Gambar Lagu\Pamungkas - To The Bone.png,Pop
Give It To Me - Timbaland ft Justin Timberlake & Nelly Furtado,Timbaland ft Justin Timberlake & Nelly Furtado - Give It To Me,C:\Project UAS TERBARU\Lagu\Timbaland ft Justin Timberlake & Nelly Furtado - Give It To Me.mp3,C:\Project UAS TERBARU\Gambar Lagu\Timbaland ft Justin Timberlake & Nelly Furtado - Give It To Me.png,R&B
Kupu kupu - Tiara Andini,Tiara Andini - Kupu kupu,C:\Project UAS TERBARU\Lagu\Tiara Andini - Kupu-Kupu.mp3,C:\Project UAS TERBARU\Gambar Lagu\Tiara Andini - Kupu-kupu.png,Pop
Kok Iso Yo - GuyonWaton ,GuyonWaton - Kok Iso Yo,C:\Project UAS TERBARU\Lagu\GuyonWaton - Kok Iso Yo.mp3,C:\Project UAS TERBARU\Gambar Lagu\GuyonWaton - Kok Iso Yo.png,Dangdut
We Can't Be Friends - Ariana Grande,Ariana Grande - We Can't Be Friends,C:\Project UAS TERBARU\Lagu\Ariana Grande - We Can't Be Friends.mp3,C:\Project UAS TERBARU\Gambar Lagu\Ariana Grande - We Cant Be Friends.png,Pop
Pisah - GuyonWaton Official,GuyonWaton Official - Pisah,C:\Project UAS TERBARU\Lagu\GuyonWaton - Pisah.mp3,C:\Project UAS TERBARU\Gambar Lagu\GuyonWaton - Pisah.png,Pop
